"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_FL-10044","2008-09","2135268","FW08FL018"
"NRS_FL-10047","2008-09","1978632","FW08FL021"
"NRS_FL-10049","2008-09","16729474","FW08FL023"
"NRS_FL-10051","2008-09","2242019","FW08FL025"
"NRS_FL-10052","2008-09","2230495","FW08FL026"
"NRS_FL-10055","2008-09","2248075","FW08FL029"
"NRS_DE-10040","2008-09","8391054","FW08DE040"
"NRS_DE-10042","2008-09","8392202","FW08DE043"
"NRS_DE-10043","2008-09","9406026","FW08DE044"
"NRS_DE-10045","2008-09","8392250","FW08DE046"
"NRS_DE-10047","2008-09","8074348","FW08DE049"
"NRS_FL-10058","2008-09","448698","FW08FL032"
"NRS_FL-10059","2008-09","2240781","FW08FL033"
"NRS_FL-10070","2008-09","16663041","FW08FL048"
"NRS_FL-10077","2008-09","2157160","FW08FL064"
"NRS_FL-10082","2008-09","16683323","FW08FL075"
"NRS_FL-10087","2008-09","2134118","FW08FL081"
"NRS_FL-10088","2008-09","16801899","FW08FL083"
"NRS_FL-10057","2008-09","16955284","FW08FL031"
"NRS_GA-10043","2008-09","6444138","FW08GA008"
"NRS_GA-10044","2008-09","9975479","FW08GA009"
"NRS_GA-10045","2008-09","2016504","FW08GA010"
"NRS_GA-10047","2008-09","6365444","FW08GA012"
"NRS_GA-10050","2008-09","6498060","FW08GA015"
"NRS_GA-10053","2008-09","6365530","FW08GA018"
"NRS_GA-10055","2008-09","2310493","FW08GA020"
"NRS_GA-10057","2008-09","2953132","FW08GA022"
"NRS_GA-10058","2008-09","15808733","FW08GA023"
"NRS_GA-10059","2008-09","6341620","FW08GA024"
"NRS_GA-10060","2008-09","9941406","FW08GA025"
"NRS_GA-10063","2008-09","6336676","FW08GA028"
"NRS_GA-10064","2008-09","14456559","FW08GA029"
"NRS_GA-10065","2008-09","3425850","FW08GA030"
"NRS_GA-10070","2008-09","1945943","FW08GA041"
"NRS_GA-10071","2008-09","6339478","FW08GA044"
"NRS_GA-10075","2008-09","9911585","FW08GA054"
"NRS_GA-10076","2008-09","6496832","FW08GA059"
"NRS_GA-10079","2008-09","2042993","FW08GA064"
"NRS_GA-10082","2008-09","11735181","FW08GA069"
"NRS_GA-10083","2008-09","6489324","FW08GA071"
"NRS_GA-10086","2008-09","9944872","FW08GA081"
"NRS_FL-10092","2008-09","16624736","FW08FL091"
"NRS_FL-10095","2008-09","16906249","FW08FL095"
"NRS_FL-10096","2008-09","448292","FW08FL096"
"NRS_FL-10106","2008-09","2161736","FW08FL123"
"NRS_FL-10107","2008-09","791038","FW08FL124"
"NRS_GA-10023","2008-09","6494660","FW08GA003"
"NRS_GA-10032","2008-09","1056999","FW08GA002"
"NRS_GA-10034","2008-09","6497212","FW08GA001"
"NRS_GA-10041","2008-09","2016562","FW08GA006"
"NRS_IA-10020","2008-09","17227229","FW08IA003"
"NRS_IA-10021","2008-09","6606874","FW08IA015"
"NRS_GA-10088","2008-09","2047853","FW08GA091"
"NRS_GA-10089","2008-09","3293954","FW08GA095"
"NRS_GA-10095","2008-09","2040789","FW08GA113"
"NRS_GA-10097","2008-09","19697821","FW08GA115"
"NRS_GA-10098","2008-09","15821607","FW08GA123"
"NRS_GA-10103","2008-09","11736181","FW08GA133"
"NRS_GA-10106","2008-09","6480103","FW08GA155"
"NRS_IA-10008","2008-09","6947598","FW08IA008"
"NRS_IA-10010","2008-09","13311083","FW08IA002"
"NRS_IA-10016","2008-09","3701598","FW08IA004"
"NRS_IA-10019","2008-09","22475251","FW08IA010"
"NRS_IA-10022","2008-09","14621764","FW08IA005"
"NRS_IA-10025","2008-09","2500595","FW08IA016"
"NRS_IA-10027","2008-09","11915987","FW08IA006"
"NRS_IA-10033","2008-09","3701696","FW08IA011"
"NRS_IA-10049","2008-09","7017203","FW08IA009"
"NRS_IA-10050","2008-09","22475927","FW08IA014"
"NRS_IA-10052","2008-09","13210986","FW08IA013"
"NRS_IA-10053","2008-09","13325132","FW08IA017"
"NRS_IA-10054","2008-09","7226618","FW08IA019"
"NRS_IA-10056","2008-09","7003922","FW08IA021"
"NRS_IA-10057","2008-09","13361778","FW08IA022"
"NRS_IA-10058","2008-09","19210063","FW08IA023"
"NRS_IA-10064","2008-09","22476709","FW08IA029"
"NRS_IA-10066","2008-09","14624806","FW08IA031"
"NRS_IA-10069","2008-09","13211724","FW08IA034"
"NRS_IA-10070","2008-09","7242803","FW08IA035"
"NRS_IA-10071","2008-09","6590816","FW08IA036"
"NRS_IA-10072","2008-09","6966377","FW08IA037"
"NRS_IA-10073","2008-09","13375539","FW08IA038"
"NRS_IA-10075","2008-09","14622076","FW08IA040"
"NRS_IA-10076","2008-09","6950508","FW08IA041"
"NRS_IA-10077","2008-09","13312105","FW08IA042"
"NRS_IA-10078","2008-09","6621012","FW08IA043"
"NRS_IA-10059","2008-09","6586941","FW08IA024"
"NRS_IA-10062","2008-09","19165707","FW08IA027"
"NRS_IA-10063","2008-09","6598104","FW08IA028"
"NRS_IA-10087","2008-09","6603368","FW08IA052"
"NRS_IA-10088","2008-09","4998251","FW08IA053"
"NRS_IA-10089","2008-09","13313051","FW08IA054"
"NRS_IA-10090","2008-09","5137309","FW08IA055"
"NRS_IA-10092","2008-09","14794951","FW08IA057"
"NRS_IA-10093","2008-09","13337524","FW08IA062"
"NRS_IA-10094","2008-09","19208427","FW08IA063"
"NRS_IA-10095","2008-09","11915745","FW08IA065"
"NRS_IA-10079","2008-09","6983206","FW08IA044"
"NRS_IA-10081","2008-09","13309075","FW08IA046"
"NRS_IA-10082","2008-09","17209278","FW08IA047"
"NRS_IA-10083","2008-09","22252143","FW08IA048"
"NRS_IA-10084","2008-09","6983560","FW08IA049"
"NRS_ID-10197","2008-09","23162797","FW08ID013"
"NRS_ID-10198","2008-09","23595541","FW08ID014"
"NRS_ID-10200","2008-09","23284583","FW08ID016"
"NRS_ID-10201","2008-09","23503368","FW08ID017"
