locationID,latitude,longitude,waterBody,projectCode
4799,37.10205212,-81.04267722,NA,NRSA
4801,38.04565236,-79.87784037,NA,NRSA
4803,37.1594084,-80.85783058,NA,NRSA
4805,37.23958141,-79.44911471,NA,NRSA
4793,36.96530261,-82.05180047,NA,NRSA
4792,38.20339415,-77.63950811,NA,NRSA
4707,30.68545325,-95.20209676,NA,NRSA
4708,33.02550094,-96.9194025,NA,NRSA
4717,30.95941066,-95.83093747,NA,NRSA
4718,31.59065264,-98.1271693,NA,NRSA
4728,31.53465945,-96.58774516,NA,NRSA
4735,30.51303846,-98.51028269,NA,NRSA
4721,30.61815112,-94.293034,NA,NRSA
4722,29.9104657,-95.49178123,NA,NRSA
4724,33.75841057,-97.29398271,NA,NRSA
4810,44.28115936,-72.45384929,NA,NRSA
4811,44.78314819,-72.85897839,NA,NRSA
4817,42.94638954,-72.87178209,NA,NRSA
4829,47.46288389,-120.6610745,NA,NRSA
4830,46.13171242,-121.5872954,NA,NRSA
4838,46.79931424,-121.0911253,NA,NRSA
3984,31.15240248,-92.80900394,NA,NRSA
4471,41.86286449,-75.51340633,NA,NRSA
4474,40.86921697,-76.08339211,NA,NRSA
4482,39.8477077,-76.13974364,NA,NRSA
4488,41.44305077,-75.66055299,NA,NRSA
4491,41.83170096,-76.33241025,NA,NRSA
4492,41.37242695,-77.42404242,NA,NRSA
4384,40.80568231,-81.38993132,NA,NRSA
4385,39.74752967,-82.77872819,NA,NRSA
4386,40.06407859,-82.53392123,NA,NRSA
4388,41.51664843,-81.22317665,NA,NRSA
4397,40.01635667,-83.25296601,NA,NRSA
4401,40.39459662,-82.5034368,NA,NRSA
4400,40.51499987,-83.02566642,NA,NRSA
4690,36.31967155,-87.67491152,NA,NRSA
4687,36.37562986,-84.25585243,NA,NRSA
4689,36.45872528,-82.42141579,NA,NRSA
4691,36.52332745,-81.95672963,NA,NRSA
4692,35.39696378,-84.27655869,NA,NRSA
4694,35.67241402,-87.26333295,NA,NRSA
4695,35.67847269,-84.89154319,NA,NRSA
4696,35.82909924,-83.48463899,NA,NRSA
4697,35.06898411,-86.96136076,NA,NRSA
